climate_region,urbanicity,urbanicity_short,catchment_type,catchment_code,catchment_label,population_2010,housing_units_2010,population_density_sqmi,housing_unit_density_sqmi,housing_unit_coverage_percentile,population_density_percentile,population_coverage_percentile,location_score,selection_rank,selected,station_distance_miles,selected_station_name,selected_station_number,selected_station_lat,selected_station_lon,centroid_lat,centroid_lon
Cold & Very Cold,higher density urban,HDU,CBSA,10000,Cold & Very Cold HDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,29.5,Cold HDU Climate Station 5 (demo),730000,44.09,-93.33,43.91,-93.11
Cold & Very Cold,higher density urban,HDU,CBSA,10001,Cold & Very Cold HDU catchment 2 (demo),1508000,616600,5980.0,2511.6,0.62,0.62,0.62,0.62,142,False,41.0,Cold HDU Climate Station 6 (demo),730001,44.12,-93.36,43.94,-93.14
Cold & Very Cold,higher density urban,HDU,CBSA,10002,Cold & Very Cold HDU catchment 3 (demo),1532000,626400,6070.0,2549.4,0.63,0.63,0.63,0.63,135,False,52.5,Cold HDU Climate Station 7 (demo),730002,44.15,-93.39,43.97,-93.17
Cold & Very Cold,higher density urban,HDU,CBSA,10003,Cold & Very Cold HDU catchment 4 (demo),1556000,636200,6160.0,2587.2,0.64,0.64,0.64,0.64,128,False,64.0,Cold HDU Climate Station 1 (demo),730003,44.18,-93.42,44.0,-93.2
Cold & Very Cold,higher density urban,HDU,CBSA,10004,Cold & Very Cold HDU catchment 5 (demo),1580000,646000,6250.0,2625.0,0.65,0.65,0.65,0.65,121,False,75.5,Cold HDU Climate Station 2 (demo),730004,44.21,-93.45,44.03,-93.23
Cold & Very Cold,higher density urban,HDU,CBSA,10005,Cold & Very Cold HDU catchment 6 (demo),1604000,655800,6340.0,2662.8,0.66,0.66,0.66,0.66,114,False,87.0,Cold HDU Climate Station 3 (demo),730005,44.24,-93.48,44.06,-93.26
Cold & Very Cold,higher density urban,HDU,CBSA,10006,Cold & Very Cold HDU catchment 7 (demo),1628000,665600,6430.0,2700.6,0.67,0.67,0.67,0.67,107,False,98.5,Cold HDU Climate Station 4 (demo),730006,44.27,-93.51,44.09,-93.29
Cold & Very Cold,higher density urban,HDU,CBSA,10007,Cold & Very Cold HDU catchment 8 (demo),1651999,675399,6520.0,2738.4,0.68,0.68,0.68,0.68,100,False,110.0,Cold HDU Climate Station 5 (demo),730007,44.3,-93.54,44.12,-93.32
Cold & Very Cold,higher density urban,HDU,CBSA,10008,Cold & Very Cold HDU catchment 9 (demo),1675999,685200,6610.0,2776.2,0.69,0.69,0.69,0.69,93,False,18.0,Cold HDU Climate Station 6 (demo),730008,44.33,-93.57,44.15,-93.35
Cold & Very Cold,higher density urban,HDU,CBSA,10009,Cold & Very Cold HDU catchment 10 (demo),1700000,695000,6700.0,2814.0,0.7,0.7,0.7,0.7,86,False,29.5,Cold HDU Climate Station 7 (demo),730009,44.36,-93.6,44.18,-93.38
Cold & Very Cold,higher density urban,HDU,CBSA,10010,Cold & Very Cold HDU catchment 11 (demo),1724000,704800,6790.0,2851.8,0.71,0.71,0.71,0.71,79,False,41.0,Cold HDU Climate Station 1 (demo),730010,44.0,-93.24,43.82,-93.02
Cold & Very Cold,higher density urban,HDU,CBSA,10011,Cold & Very Cold HDU catchment 12 (demo),1748000,714600,6880.0,2889.6,0.72,0.72,0.72,0.72,72,False,52.5,Cold HDU Climate Station 2 (demo),730011,44.03,-93.27,43.85,-93.05
Cold & Very Cold,higher density urban,HDU,CBSA,10012,Cold & Very Cold HDU catchment 13 (demo),1772000,724400,6970.0,2927.4,0.73,0.73,0.73,0.73,65,False,64.0,Cold HDU Climate Station 3 (demo),730012,44.06,-93.3,43.88,-93.08
Cold & Very Cold,higher density urban,HDU,CBSA,10013,Cold & Very Cold HDU catchment 14 (demo),1796000,734200,7060.0,2965.2,0.74,0.74,0.74,0.74,58,False,75.5,Cold HDU Climate Station 4 (demo),730013,44.09,-93.33,43.91,-93.11
Cold & Very Cold,higher density urban,HDU,CBSA,10014,Cold & Very Cold HDU catchment 15 (demo),1820000,744000,7150.0,3003.0,0.75,0.75,0.75,0.75,51,False,87.0,Cold HDU Climate Station 5 (demo),730014,44.12,-93.36,43.94,-93.14
Cold & Very Cold,higher density urban,HDU,CBSA,10015,Cold & Very Cold HDU catchment 16 (demo),1844000,753800,7240.0,3040.8,0.76,0.76,0.76,0.76,44,False,98.5,Cold HDU Climate Station 6 (demo),730015,44.15,-93.39,43.97,-93.17
Cold & Very Cold,higher density urban,HDU,CBSA,10016,Cold & Very Cold HDU catchment 17 (demo),1868000,763600,7330.0,3078.6,0.77,0.77,0.77,0.77,38,False,110.0,Cold HDU Climate Station 7 (demo),730016,44.18,-93.42,44.0,-93.2
Cold & Very Cold,higher density urban,HDU,CBSA,10017,Cold & Very Cold HDU catchment 18 (demo),1892000,773400,7420.0,3116.4,0.78,0.78,0.78,0.78,32,False,18.0,Cold HDU Climate Station 1 (demo),730017,44.21,-93.45,44.03,-93.23
Cold & Very Cold,higher density urban,HDU,CBSA,10018,Cold & Very Cold HDU catchment 19 (demo),1916000,783200,7510.0,3154.2,0.79,0.79,0.79,0.79,26,False,29.5,Cold HDU Climate Station 2 (demo),730018,44.24,-93.48,44.06,-93.26
Cold & Very Cold,higher density urban,HDU,CBSA,10019,Cold & Very Cold HDU catchment 20 (demo),1940000,793000,7600.0,3192.0,0.8,0.8,0.8,0.8,20,False,41.0,Cold HDU Climate Station 3 (demo),730019,44.27,-93.51,44.09,-93.29
Cold & Very Cold,higher density urban,HDU,CBSA,10020,Cold & Very Cold HDU catchment 21 (demo),1964000,802800,7690.0,3229.8,0.81,0.81,0.81,0.81,14,False,52.5,Cold HDU Climate Station 4 (demo),730020,44.3,-93.54,44.12,-93.32
Cold & Very Cold,higher density urban,HDU,CBSA,10021,Cold & Very Cold HDU catchment 22 (demo),1988000,812600,7780.0,3267.6,0.82,0.82,0.82,0.82,8,False,64.0,Cold HDU Climate Station 5 (demo),730021,44.33,-93.57,44.15,-93.35
Cold & Very Cold,higher density urban,HDU,CBSA,10022,Cold & Very Cold HDU catchment 23 (demo),2012000,822400,7870.0,3305.4,0.83,0.83,0.83,0.83,2,False,75.5,Cold HDU Climate Station 6 (demo),730022,44.36,-93.6,44.18,-93.38
Cold & Very Cold,higher density urban,HDU,CBSA,10023,Cold & Very Cold HDU catchment 24 (demo),1508000,616600,5980.0,2511.6,0.62,0.62,0.62,0.62,143,False,87.0,Cold HDU Climate Station 7 (demo),730023,44.0,-93.24,43.82,-93.02
Cold & Very Cold,higher density urban,HDU,CBSA,10024,Cold & Very Cold HDU catchment 25 (demo),1532000,626400,6070.0,2549.4,0.63,0.63,0.63,0.63,136,False,98.5,Cold HDU Climate Station 1 (demo),730024,44.03,-93.27,43.85,-93.05
Cold & Very Cold,higher density urban,HDU,CBSA,10025,Cold & Very Cold HDU catchment 26 (demo),1556000,636200,6160.0,2587.2,0.64,0.64,0.64,0.64,129,False,110.0,Cold HDU Climate Station 2 (demo),730025,44.06,-93.3,43.88,-93.08
Cold & Very Cold,higher density urban,HDU,CBSA,10026,Cold & Very Cold HDU catchment 27 (demo),1580000,646000,6250.0,2625.0,0.65,0.65,0.65,0.65,122,False,18.0,Cold HDU Climate Station 3 (demo),730026,44.09,-93.33,43.91,-93.11
Cold & Very Cold,higher density urban,HDU,CBSA,10027,Cold & Very Cold HDU catchment 28 (demo),1604000,655800,6340.0,2662.8,0.66,0.66,0.66,0.66,115,False,29.5,Cold HDU Climate Station 4 (demo),730027,44.12,-93.36,43.94,-93.14
Cold & Very Cold,higher density urban,HDU,CBSA,10028,Cold & Very Cold HDU catchment 29 (demo),1628000,665600,6430.0,2700.6,0.67,0.67,0.67,0.67,108,False,41.0,Cold HDU Climate Station 5 (demo),730028,44.15,-93.39,43.97,-93.17
Cold & Very Cold,higher density urban,HDU,CBSA,10029,Cold & Very Cold HDU catchment 30 (demo),1651999,675399,6520.0,2738.4,0.68,0.68,0.68,0.68,101,False,52.5,Cold HDU Climate Station 6 (demo),730029,44.18,-93.42,44.0,-93.2
Cold & Very Cold,higher density urban,HDU,CBSA,10030,Cold & Very Cold HDU catchment 31 (demo),1675999,685200,6610.0,2776.2,0.69,0.69,0.69,0.69,94,False,64.0,Cold HDU Climate Station 7 (demo),730030,44.21,-93.45,44.03,-93.23
Cold & Very Cold,higher density urban,HDU,CBSA,10031,Cold & Very Cold HDU catchment 32 (demo),1700000,695000,6700.0,2814.0,0.7,0.7,0.7,0.7,87,False,75.5,Cold HDU Climate Station 1 (demo),730031,44.24,-93.48,44.06,-93.26
Cold & Very Cold,higher density urban,HDU,CBSA,10032,Cold & Very Cold HDU catchment 33 (demo),1724000,704800,6790.0,2851.8,0.71,0.71,0.71,0.71,80,False,87.0,Cold HDU Climate Station 2 (demo),730032,44.27,-93.51,44.09,-93.29
Cold & Very Cold,higher density urban,HDU,CBSA,10033,Cold & Very Cold HDU catchment 34 (demo),1748000,714600,6880.0,2889.6,0.72,0.72,0.72,0.72,73,False,98.5,Cold HDU Climate Station 3 (demo),730033,44.3,-93.54,44.12,-93.32
Cold & Very Cold,higher density urban,HDU,CBSA,10034,Cold & Very Cold HDU catchment 35 (demo),1772000,724400,6970.0,2927.4,0.73,0.73,0.73,0.73,66,False,110.0,Cold HDU Climate Station 4 (demo),730034,44.33,-93.57,44.15,-93.35
Cold & Very Cold,higher density urban,HDU,CBSA,10035,Cold & Very Cold HDU catchment 36 (demo),1796000,734200,7060.0,2965.2,0.74,0.74,0.74,0.74,59,False,18.0,Cold HDU Climate Station 5 (demo),730035,44.36,-93.6,44.18,-93.38
Cold & Very Cold,higher density urban,HDU,CBSA,10036,Cold & Very Cold HDU catchment 37 (demo),1820000,744000,7150.0,3003.0,0.75,0.75,0.75,0.75,52,False,29.5,Cold HDU Climate Station 6 (demo),730036,44.0,-93.24,43.82,-93.02
Cold & Very Cold,higher density urban,HDU,CBSA,10037,Cold & Very Cold HDU catchment 38 (demo),1844000,753800,7240.0,3040.8,0.76,0.76,0.76,0.76,45,False,41.0,Cold HDU Climate Station 7 (demo),730037,44.03,-93.27,43.85,-93.05
