climate_region,urbanicity,urbanicity_short,catchment_type,catchment_code,catchment_label,population_2010,housing_units_2010,population_density_sqmi,housing_unit_density_sqmi,housing_unit_coverage_percentile,population_density_percentile,population_coverage_percentile,location_score,selection_rank,selected,station_distance_miles,selected_station_name,selected_station_number,selected_station_lat,selected_station_lon,centroid_lat,centroid_lon
Cold & Very Cold,higher density urban,HDU,CBSA,10000,Cold & Very Cold HDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,29.5,Cold HDU Climate Station 5 (demo),730000,44.09,-93.33,43.91,-93.11
Cold & Very Cold,lower density urban,LDU,CBSA,10148,Cold & Very Cold LDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,75.5,Cold LDU Climate Station 6 (demo),730148,44.84,-93.08,44.66,-92.86
Cold & Very Cold,suburban/small town,Suburban,CBSA,10296,Cold & Very Cold Suburban catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,18.0,Cold Suburban Climate Station 7 (demo),730296,43.5,-92.54,43.32,-92.32
Cold & Very Cold,rural,Rural,County,10444,Cold & Very Cold Rural catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,64.0,Cold Rural Climate Station 1 (demo),730444,45.25,-94.29,45.07,-94.07
Hot-Dry & Mixed Dry,higher density urban,HDU,CBSA,10592,Hot-Dry & Mixed Dry HDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,110.0,Hot-Dry HDU Climate Station 2 (demo),730592,33.9,-112.34,33.72,-112.12
Hot-Dry & Mixed Dry,lower density urban,LDU,CBSA,10740,Hot-Dry & Mixed Dry LDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,52.5,Hot-Dry LDU Climate Station 3 (demo),730740,34.26,-111.7,34.08,-111.48
Hot-Dry & Mixed Dry,suburban/small town,Suburban,CBSA,10888,Hot-Dry & Mixed Dry Suburban catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,98.5,Hot-Dry Suburban Climate Station 4 (demo),730888,33.31,-111.55,33.13,-111.33
Hot-Dry & Mixed Dry,rural,Rural,County,11036,Hot-Dry & Mixed Dry Rural catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,41.0,Hot-Dry Rural Climate Station 5 (demo),731036,35.06,-113.3,34.88,-113.08
Hot-Humid,higher density urban,HDU,CBSA,11184,Hot-Humid HDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,87.0,Hot-Humid HDU Climate Station 6 (demo),731184,30.32,-90.26,30.14,-90.04
Hot-Humid,lower density urban,LDU,CBSA,11332,Hot-Humid LDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,29.5,Hot-Humid LDU Climate Station 7 (demo),731332,31.07,-90.01,30.89,-89.79
Hot-Humid,suburban/small town,Suburban,CBSA,11480,Hot-Humid Suburban catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,75.5,Hot-Humid Suburban Climate Station 1 (demo),731480,29.73,-89.47,29.55,-89.25
Hot-Humid,rural,Rural,County,11628,Hot-Humid Rural catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,18.0,Hot-Humid Rural Climate Station 2 (demo),731628,31.48,-91.22,31.3,-91.0
Marine,higher density urban,HDU,CBSA,11776,Marine HDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,64.0,Marine HDU Climate Station 3 (demo),731776,47.63,-122.77,47.45,-122.55
Marine,lower density urban,LDU,CBSA,11924,Marine LDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,110.0,Marine LDU Climate Station 4 (demo),731924,47.99,-122.13,47.81,-121.91
Marine,suburban/small town,Suburban,CBSA,12072,Marine Suburban catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,52.5,Marine Suburban Climate Station 5 (demo),732072,47.04,-121.98,46.86,-121.76
Marine,rural,Rural,County,12220,Marine Rural catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,98.5,Marine Rural Climate Station 6 (demo),732220,48.4,-123.34,48.22,-123.12
Mixed-Humid,higher density urban,HDU,CBSA,12368,Mixed-Humid HDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,41.0,Mixed-Humid HDU Climate Station 7 (demo),732368,38.75,-80.79,38.57,-80.57
Mixed-Humid,lower density urban,LDU,CBSA,12516,Mixed-Humid LDU catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,87.0,Mixed-Humid LDU Climate Station 1 (demo),732516,39.5,-80.54,39.32,-80.32
Mixed-Humid,suburban/small town,Suburban,CBSA,12664,Mixed-Humid Suburban catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,29.5,Mixed-Humid Suburban Climate Station 2 (demo),732664,38.16,-80.0,37.98,-79.78
Mixed-Humid,rural,Rural,County,12812,Mixed-Humid Rural catchment 1 (demo),2180000,891000,8500.0,3570.0,0.9,0.9,0.9,0.9,1,True,75.5,Mixed-Humid Rural Climate Station 3 (demo),732812,39.91,-81.75,39.73,-81.53
