station_number,station_name,year,expected_hours,present_hours,coverage_fraction,hourly_weather_qc_status,source
730000,Cold HDU Climate Station 5 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730001,Cold HDU Climate Station 6 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730002,Cold HDU Climate Station 7 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730003,Cold HDU Climate Station 1 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730004,Cold HDU Climate Station 2 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730005,Cold HDU Climate Station 3 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730006,Cold HDU Climate Station 4 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730007,Cold HDU Climate Station 5 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730008,Cold HDU Climate Station 6 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730009,Cold HDU Climate Station 7 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730010,Cold HDU Climate Station 1 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730011,Cold HDU Climate Station 2 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730012,Cold HDU Climate Station 3 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730013,Cold HDU Climate Station 4 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730014,Cold HDU Climate Station 5 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730015,Cold HDU Climate Station 6 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730016,Cold HDU Climate Station 7 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730017,Cold HDU Climate Station 1 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730018,Cold HDU Climate Station 2 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730019,Cold HDU Climate Station 3 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730020,Cold HDU Climate Station 4 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730021,Cold HDU Climate Station 5 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730022,Cold HDU Climate Station 6 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730023,Cold HDU Climate Station 7 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730024,Cold HDU Climate Station 1 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730025,Cold HDU Climate Station 2 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730026,Cold HDU Climate Station 3 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730027,Cold HDU Climate Station 4 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730028,Cold HDU Climate Station 5 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730029,Cold HDU Climate Station 6 (demo),2023,8760,8322,0.95,COMPLETE,fixture
