climate_region,urbanicity,status,eligible_candidate_count
Cold & Very Cold,higher density urban,RESOLVED,148
Cold & Very Cold,lower density urban,RESOLVED,148
Cold & Very Cold,suburban/small town,RESOLVED,148
Cold & Very Cold,rural,RESOLVED,148
Hot-Dry & Mixed Dry,higher density urban,RESOLVED,148
Hot-Dry & Mixed Dry,lower density urban,RESOLVED,148
Hot-Dry & Mixed Dry,suburban/small town,RESOLVED,148
Hot-Dry & Mixed Dry,rural,RESOLVED,148
Hot-Humid,higher density urban,RESOLVED,148
Hot-Humid,lower density urban,RESOLVED,148
Hot-Humid,suburban/small town,RESOLVED,148
Hot-Humid,rural,RESOLVED,148
Marine,higher density urban,RESOLVED,148
Marine,lower density urban,RESOLVED,148
Marine,suburban/small town,RESOLVED,148
Marine,rural,RESOLVED,148
Mixed-Humid,higher density urban,RESOLVED,148
Mixed-Humid,lower density urban,RESOLVED,148
Mixed-Humid,suburban/small town,RESOLVED,148
Mixed-Humid,rural,RESOLVED,147
