tract_geoid,state_fips,county_geoid,county_name,population,housing_units,land_area_sqmi,intpt_lat,intpt_lon
27053000101,27,27053,"Hennepin County, MN",3680,1546,1.6,44.9641,-93.4309
27053000102,27,27053,"Hennepin County, MN",3680,1546,1.6,44.9761,-93.4429
27053000103,27,27053,"Hennepin County, MN",3680,1546,1.6,44.9881,-93.4549
27053000104,27,27053,"Hennepin County, MN",3680,1546,1.6,45.0001,-93.4669
27053000105,27,27053,"Hennepin County, MN",3680,1546,1.6,45.0121,-93.4789
27053000106,27,27053,"Hennepin County, MN",3680,1546,1.6,45.0241,-93.4909
27053000107,27,27053,"Hennepin County, MN",3680,1546,1.6,45.0361,-93.5029
27053000108,27,27053,"Hennepin County, MN",3680,1546,1.6,45.0481,-93.5149
27053000109,27,27053,"Hennepin County, MN",3680,1546,1.6,44.9521,-93.4189
27053000110,27,27053,"Hennepin County, MN",3680,1546,1.6,44.9641,-93.4309
27053000111,27,27053,"Hennepin County, MN",3680,1546,1.6,44.9761,-93.4429
27053000112,27,27053,"Hennepin County, MN",3680,1546,1.6,44.9881,-93.4549
27053000113,27,27053,"Hennepin County, MN",3680,1546,1.6,45.0001,-93.4669
27053000114,27,27053,"Hennepin County, MN",3680,1546,1.6,45.0121,-93.4789
27123000101,27,27123,"Ramsey County, MN",3240,1361,1.2,44.9809,-93.0612
27123000102,27,27123,"Ramsey County, MN",3240,1361,1.2,44.9929,-93.0732
27123000103,27,27123,"Ramsey County, MN",3240,1361,1.2,45.0049,-93.0852
27123000104,27,27123,"Ramsey County, MN",3240,1361,1.2,45.0169,-93.0972
27123000105,27,27123,"Ramsey County, MN",3240,1361,1.2,45.0289,-93.1092
27123000106,27,27123,"Ramsey County, MN",3240,1361,1.2,45.0409,-93.1212
27123000107,27,27123,"Ramsey County, MN",3240,1361,1.2,45.0529,-93.1332
27123000108,27,27123,"Ramsey County, MN",3240,1361,1.2,45.0649,-93.1452
27137000101,27,27137,"St. Louis County, MN",2400,1008,8.0,47.5537,-92.4244
27137000102,27,27137,"St. Louis County, MN",2400,1008,8.0,47.5657,-92.4364
27137000103,27,27137,"St. Louis County, MN",2400,1008,8.0,47.5777,-92.4484
27137000104,27,27137,"St. Louis County, MN",2400,1008,8.0,47.5897,-92.4604
27137000105,27,27137,"St. Louis County, MN",2400,1008,8.0,47.6017,-92.4724
27137000206,27,27137,"St. Louis County, MN",4000,1680,200.0,47.6137,-92.4844
27137000207,27,27137,"St. Louis County, MN",4000,1680,200.0,47.6257,-92.4964
27031000101,27,27031,"Cook County, MN",1200,504,150.0,47.8268,-90.463
27031000102,27,27031,"Cook County, MN",1200,504,150.0,47.8388,-90.475
27031000103,27,27031,"Cook County, MN",1200,504,150.0,47.8508,-90.487
27077000101,27,27077,"Lake of the Woods County, MN",1500,630,250.0,48.7357,-94.8678
27077000102,27,27077,"Lake of the Woods County, MN",1500,630,250.0,48.7477,-94.8798
27077000103,27,27077,"Lake of the Woods County, MN",1500,630,250.0,48.7597,-94.8918
