nrel_filter_field,nrel_filter_value,source_dictionary
in.county,04001,fixture (pipeline/out)
in.county,10444,demo (data/demo)
in.county,11036,demo (data/demo)
in.county,11628,demo (data/demo)
in.county,12220,demo (data/demo)
in.county,12812,demo (data/demo)
in.county,22001,fixture (pipeline/out)
in.county,27001,fixture (pipeline/out)
in.county,42001,fixture (pipeline/out)
in.county,53001,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,10000,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,10148,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,10296,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,10592,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,10740,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,10888,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,11184,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,11332,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,11480,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,11776,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,11924,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,12072,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,12516,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,12664,demo (data/demo)
in.metropolitan_and_micropolitan_statistical_area,37980,demo (data/demo); fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,90001,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,90149,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,90297,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,90445,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,90593,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,90741,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,90889,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,91037,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,91185,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,91333,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,91481,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,91629,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,91925,fixture (pipeline/out)
in.metropolitan_and_micropolitan_statistical_area,92073,fixture (pipeline/out)
