climate_region,urbanicity,urbanicity_short,catchment_type,catchment_code,catchment_label,population_2010,housing_units_2010,population_density_sqmi,housing_unit_density_sqmi,housing_unit_coverage_percentile,population_density_percentile,population_coverage_percentile,location_score,selection_rank,selected,station_distance_miles,selected_station_name,selected_station_number,selected_station_lat,selected_station_lon,centroid_lat,centroid_lon
Cold & Very Cold,higher density urban,HDU,CBSA,35620,"New York-Newark-Jersey City, NY-NJ",19536376,7902744,3938.3,1593.1,1.0,1.0,1.0,1.0,1,True,3.6,NY_PORT-AUTH-DOWNTN-MANHATTAN,720553,40.701,-74.009,40.72585,-73.94867
Cold & Very Cold,higher density urban,HDU,CBSA,12180,"Auburn, NY",26475,13092,3176.4,1570.7,0.6,0.6,0.6,0.6,2,False,26.4,NY_SYRACUSE-HANCOCK-IAP,725190,43.111,-76.104,42.93194,-76.56581
Cold & Very Cold,higher density urban,HDU,CBSA,41620,"Salt Lake City-Murray, UT",1217674,449102,3012.2,1111.0,0.8,0.2,0.8,0.59,3,False,9.4,UT_SALT-LAKE-CITY-IAP,725720,40.771,-111.965,40.63539,-111.9459
Cold & Very Cold,higher density urban,HDU,CBSA,36580,"Oneonta, NY",14467,6053,3317.4,1388.0,0.2,0.8,0.2,0.41,4,False,49.8,NY_BINGHAMTON-EDWIN-A-LINK-FL,725150,42.207,-75.98,42.45755,-75.06659
Cold & Very Cold,higher density urban,HDU,CBSA,11220,"Amsterdam, NY",18162,9318,3093.0,1586.9,0.4,0.4,0.4,0.4,5,False,13.7,NY_SCHENECTADY,744994,42.85,-73.95,42.94463,-74.18883
Cold & Very Cold,lower density urban,LDU,CBSA,16980,"Chicago-Naperville-Elgin, IL-IN",9120795,3791792,2564.0,1065.9,1.0,0.986301,1.0,0.995205,1,True,7.2,IL_CHICAGO-OHARE-IAP,725300,41.96,-87.932,41.86845,-87.86651
Cold & Very Cold,lower density urban,LDU,CBSA,19740,"Denver-Aurora-Centennial, CO",2824175,1199285,2709.2,1150.5,0.972603,1.0,0.972603,0.982192,2,False,10.7,CO_AURORA-BUCKLEY-FLD-ANGB,724695,39.717,-104.75,39.7133,-104.95186
Cold & Very Cold,lower density urban,LDU,CBSA,19820,"Detroit-Warren-Dearborn, MI",4176730,1836874,2004.8,881.7,0.986301,0.924658,0.986301,0.964726,3,False,4.1,MI_OAKLAND-TROY-AP,720113,42.543,-83.178,42.48662,-83.20223
Cold & Very Cold,lower density urban,LDU,CBSA,14460,"Boston-Cambridge-Newton, MA-NH",4855226,2020798,1626.9,677.2,0.993151,0.773973,0.993151,0.916439,4,False,6.6,MA_BOSTON-LOGAN-IAP,725090,42.361,-71.01,42.42498,-71.10715
Cold & Very Cold,lower density urban,LDU,CBSA,17820,"Colorado Springs, CO",676070,274074,2016.5,817.5,0.876712,0.938356,0.876712,0.898287,5,False,6.4,CO_COLORADO-SPRINGS-MUNI-AP,724660,38.809,-104.689,38.87868,-104.76671
Cold & Very Cold,lower density urban,LDU,CBSA,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3340235,1388330,1545.7,642.4,0.979452,0.732877,0.979452,0.893151,6,False,6.7,MN_MINNEAPOLIS-CRYSTAL,726575,45.062,-93.351,44.98785,-93.26184
Cold & Very Cold,lower density urban,LDU,CBSA,36540,"Omaha, NE-IA",851224,355478,1798.2,750.9,0.90411,0.863014,0.90411,0.889726,7,False,4.6,NE_MILLARD,720308,41.196,-96.112,41.23838,-96.04486
Cold & Very Cold,lower density urban,LDU,CBSA,14260,"Boise City, ID",686006,270335,1899.7,748.6,0.869863,0.89726,0.883562,0.882192,8,False,6.3,ID_NAMPA-MUNI-AP,720734,43.581,-116.523,43.61367,-116.40468
Cold & Very Cold,lower density urban,LDU,CBSA,39340,"Provo-Orem-Lehi, UT",648003,193552,2085.7,623.0,0.821918,0.952055,0.863014,0.875685,9,False,4.4,UT_PROVO-MUNI(AWOS),725724,40.219,-111.723,40.27865,-111.75008
Cold & Very Cold,lower density urban,LDU,CBSA,18140,"Columbus, OH",1877831,803476,1550.4,663.4,0.945205,0.746575,0.945205,0.875684,10,False,3.7,OH_COLUMBUS-PORT-COLUMBUS-IAP,724280,39.991,-82.877,40.0075,-82.94395
Cold & Very Cold,lower density urban,LDU,CBSA,26900,"Indianapolis-Carmel-Greenwood, IN",1892768,809228,1471.2,629.0,0.952055,0.691781,0.952055,0.860959,11,False,9.6,IN_EAGLE-CREEK,724384,39.825,-86.296,39.82628,-86.116
Cold & Very Cold,lower density urban,LDU,CBSA,36260,"Ogden, UT",606987,206636,1803.9,614.1,0.828767,0.869863,0.849315,0.84726,12,False,0.9,UT_OGDEN-HILL-AFB,725755,41.117,-111.967,41.10555,-111.97694
Cold & Very Cold,lower density urban,LDU,CBSA,17410,"Cleveland, OH",2052375,966800,1398.7,658.9,0.965753,0.609589,0.965753,0.841096,13,False,4.9,OH_BURKE-LAKEFRONT,725245,41.526,-81.669,41.45576,-81.67568
Cold & Very Cold,lower density urban,LDU,CBSA,14860,"Bridgeport-Stamford-Danbury, CT",942350,372973,1486.3,588.3,0.910959,0.705479,0.917808,0.840411,14,False,12.3,CT_DANBURY-MUNI-AP,725086,41.372,-73.483,41.21175,-73.37891
Cold & Very Cold,lower density urban,LDU,CBSA,15380,"Buffalo-Cheektowaga, NY",1083532,504432,1444.7,672.6,0.924658,0.664384,0.924658,0.833562,15,False,3.7,NY_BUFFALO-NIAGARA-IAP,725280,42.94,-78.736,42.93843,-78.8088
Cold & Very Cold,lower density urban,LDU,CBSA,30700,"Lincoln, NE",298365,128780,2239.9,966.8,0.753425,0.979452,0.746575,0.831164,16,False,5.3,NE_LINCOLN-MUNI-AP,725510,40.848,-96.765,40.80614,-96.6791
Cold & Very Cold,lower density urban,LDU,CBSA,33340,"Milwaukee-Waukesha, WI",1520844,676300,1410.0,627.0,0.931507,0.636986,0.931507,0.828425,17,False,2.8,WI_MILWAUKEE-TIMMERMAN,726405,43.109,-88.031,43.07055,-88.0496
Cold & Very Cold,lower density urban,LDU,CBSA,39300,"Providence-Warwick, RI-MA",1618104,701482,1366.1,592.2,0.938356,0.582192,0.938356,0.813699,18,False,6.5,RI_PROVIDENCE-GREEN-STATE-AP,725070,41.723,-71.432,41.77261,-71.32567
Cold & Very Cold,lower density urban,LDU,CBSA,17140,"Cincinnati, OH-KY-IN",2021687,865550,1322.9,566.4,0.958904,0.527397,0.958904,0.807877,19,False,7.9,OH_CINCINNATI-MUNI-AP-LUNKI,724297,39.106,-84.416,39.21247,-84.4678
Cold & Very Cold,lower density urban,LDU,CBSA,35300,"New Haven, CT",566803,247217,1543.7,673.3,0.849315,0.726027,0.842466,0.804794,20,False,6.0,CT_NEW-HAVEN-TWEED-AP,725045,41.259,-72.889,41.34517,-72.8895
Cold & Very Cold,lower density urban,LDU,CBSA,14500,"Boulder, CO",300849,128680,1854.6,793.2,0.746575,0.876712,0.760274,0.794863,21,False,3.2,CO_BOULDER-MUNI-AP,720533,40.033,-105.217,40.06223,-105.1689
Cold & Very Cold,lower density urban,LDU,CBSA,45780,"Toledo, OH",528379,243943,1485.8,686.0,0.842466,0.69863,0.828767,0.789384,22,False,8.1,MI_LAMBERTVILLE,720275,41.736,-83.655,41.61938,-83.63505
Cold & Very Cold,lower density urban,LDU,CBSA,22020,"Fargo, ND-MN",214697,98947,1692.4,780.0,0.705479,0.828767,0.705479,0.74863,23,False,5.0,ND_FARGO-HECTOR-IAP,727530,46.924,-96.812,46.85209,-96.82396
Cold & Very Cold,lower density urban,LDU,CBSA,19780,"Des Moines-West Des Moines, IA",616160,265745,1321.9,570.1,0.863014,0.520548,0.856164,0.741781,24,False,5.6,IA_DES-MOINES-IAP,725460,41.534,-93.653,41.61554,-93.65733
Cold & Very Cold,lower density urban,LDU,CBSA,44140,"Springfield, MA",439621,185895,1399.7,591.9,0.808219,0.616438,0.808219,0.741096,25,False,5.5,MA_CHICOPEE-FALLS-WEST,744910,42.2,-72.533,42.12715,-72.57621
Cold & Very Cold,lower density urban,LDU,CBSA,45060,"Syracuse, NY",496146,222268,1336.9,598.9,0.835616,0.547945,0.821918,0.732192,26,False,3.2,NY_SYRACUSE-HANCOCK-IAP,725190,43.111,-76.104,43.10595,-76.1674
Cold & Very Cold,lower density urban,LDU,CBSA,40380,"Rochester, NY",873532,390937,1228.3,549.7,0.917808,0.376712,0.910959,0.727055,27,False,5.0,NY_GREATER-ROCHESTER-IAP,725290,43.117,-77.675,43.13576,-77.57871
Cold & Very Cold,lower density urban,LDU,CBSA,40420,"Rockford, IL",282605,123603,1447.5,633.1,0.739726,0.671233,0.739726,0.715753,28,False,21.5,WI_SOUTHERN-WISC-RGNL-AP,726415,42.617,-89.033,42.30533,-89.02543
Cold & Very Cold,lower density urban,LDU,CBSA,14010,"Bloomington, IL",129918,58523,1898.7,855.3,0.616438,0.890411,0.60274,0.709589,29,False,1.5,IL_CENTRAL-ILLINOIS-RG,724397,40.483,-88.95,40.49513,-88.97358
Cold & Very Cold,lower density urban,LDU,CBSA,11260,"Anchorage, AK",318329,130662,1383.3,567.8,0.760274,0.60274,0.767123,0.706507,30,False,1349.5,WA_QUILLAYUTE-STATE-AP,727970,47.937,-124.558,61.26372,-149.7401
Cold & Very Cold,lower density urban,LDU,CBSA,23060,"Fort Wayne, IN",373090,159826,1335.0,571.9,0.794521,0.534247,0.80137,0.704795,31,False,9.1,IN_FORT-WAYNE-IAP,725330,40.972,-85.206,41.09353,-85.13954
Cold & Very Cold,lower density urban,LDU,CBSA,19430,"Dayton-Kettering-Beavercreek, OH",747287,344753,1206.1,556.4,0.89726,0.349315,0.890411,0.704109,32,False,7.3,OH_DAYTON-WRIGHT-PATTERSON,745700,39.833,-84.05,39.77608,-84.1662
Cold & Very Cold,lower density urban,LDU,CBSA,10580,"Albany-Schenectady-Troy, NY",748763,344592,1194.2,549.6,0.890411,0.328767,0.89726,0.695205,33,False,3.0,NY_ALBANY-CO-AP,725180,42.747,-73.799,42.78993,-73.79602
Cold & Very Cold,lower density urban,LDU,CBSA,19340,"Davenport-Moline-Rock Island, IA-IL",299186,137932,1294.9,597.0,0.767123,0.465753,0.753425,0.658904,34,False,4.6,IL_MOLINE-QUAD-CITY-IAP,725440,41.448,-90.524,41.51281,-90.50319
Cold & Very Cold,lower density urban,LDU,CBSA,10420,"Akron, OH",655896,299950,1155.5,528.4,0.883562,0.246575,0.869863,0.657877,35,False,6.3,OH_AKRON-FULTON-IAP,724303,41.037,-81.463,41.12811,-81.47379
Cold & Very Cold,lower density urban,LDU,CBSA,29620,"Lansing-East Lansing, MI",360596,162963,1231.5,556.5,0.80137,0.390411,0.794521,0.656165,36,False,4.9,MI_LANSING-CAPITAL-CITY-AP,725390,42.776,-84.6,42.71482,-84.55006
Cold & Very Cold,lower density urban,LDU,CBSA,26980,"Iowa City, IA",129088,57072,1545.8,683.4,0.60274,0.739726,0.59589,0.649315,37,False,1.3,IA_IOWA-CITY-MUNI,725462,41.639,-91.545,41.65463,-91.55828
Cold & Very Cold,lower density urban,LDU,CBSA,24300,"Grand Junction, CO",134210,58309,1501.6,652.4,0.609589,0.712329,0.609589,0.645548,38,False,3.2,CO_GRAND-JUNCTION-WALKER-FLD,724760,39.134,-108.541,39.08824,-108.54983
Cold & Very Cold,lower density urban,LDU,CBSA,24580,"Green Bay, WI",230425,99596,1319.1,570.2,0.712329,0.5,0.719178,0.639384,39,False,5.7,WI_GREEN-BAY-AUSTIN-IAP,726450,44.48,-88.137,44.50648,-88.02767
Cold & Very Cold,lower density urban,LDU,CBSA,31540,"Madison, WI",542769,247450,1152.2,525.3,0.856164,0.226027,0.835616,0.631506,40,False,5.4,WI_MADISON-DANE-CO-RGNL-AP,726410,43.141,-89.345,43.07678,-89.40617
Cold & Very Cold,lower density urban,LDU,CBSA,47930,"Waterbury-Shelton, CT",446455,189509,1175.1,498.8,0.815068,0.287671,0.815068,0.630479,41,False,5.3,CT_OXFORD(AWOS),725029,41.483,-73.133,41.52006,-73.04343
Cold & Very Cold,lower density urban,LDU,CBSA,13740,"Billings, MT",136813,62434,1407.2,642.2,0.630137,0.630137,0.623288,0.628767,42,False,2.9,MT_BILLINGS-LOGAN-IAP,726770,45.807,-108.546,45.77004,-108.57483
Cold & Very Cold,lower density urban,LDU,CBSA,43620,"Sioux Falls, SD-MN",231558,99910,1241.1,535.5,0.719178,0.410959,0.726027,0.612671,43,False,3.8,SD_SIOUX-FALLS-FOSS-FIELD,726510,43.578,-96.754,43.52679,-96.72579
Cold & Very Cold,lower density urban,LDU,CBSA,22660,"Fort Collins-Loveland, CO",333266,144795,1172.9,509.6,0.780822,0.280822,0.780822,0.605822,44,False,4.5,CO_FORT-COLLINS-LOVELAND-AP,724769,40.45,-105.017,40.49591,-105.07701
Cold & Very Cold,lower density urban,LDU,CBSA,27460,"Jamestown-Dunkirk, NY",63079,32053,1730.3,879.2,0.479452,0.856164,0.452055,0.605822,45,False,7.5,NY_CHATAUQUA-CO-JAMESTO,725235,42.15,-79.25,42.25713,-79.27497
Cold & Very Cold,lower density urban,LDU,CBSA,16300,"Cedar Rapids, IA",212207,95024,1269.0,568.2,0.69863,0.431507,0.69863,0.605137,46,False,9.9,IA_CEDAR-RAPIDS-MUNI-AP,725450,41.883,-91.725,42.01198,-91.64212
Cold & Very Cold,lower density urban,LDU,CBSA,16940,"Cheyenne, WY",79194,36489,1602.4,738.3,0.506849,0.767123,0.506849,0.597945,47,False,1.1,WY_CHEYENNE-MUNI-AP,725640,41.158,-104.808,41.14498,-104.79663
Cold & Very Cold,lower density urban,LDU,CBSA,13780,"Binghamton, NY",159230,75130,1277.4,602.7,0.671233,0.452055,0.657534,0.591781,48,False,7.2,NY_BINGHAMTON-EDWIN-A-LINK-FL,725150,42.207,-75.98,42.10381,-75.99053
Cold & Very Cold,lower density urban,LDU,CBSA,14020,"Bloomington, IN",115334,53631,1380.6,642.0,0.582192,0.59589,0.575342,0.585616,49,False,4.6,IN_MONROE-CO,724375,39.143,-86.617,39.16014,-86.53467
Cold & Very Cold,lower density urban,LDU,CBSA,39500,"Quincy, IL-MO",39096,18851,2012.4,970.3,0.40411,0.931507,0.376712,0.583219,50,False,9.8,IL_QUINCY-RGNL-BALDWIN-FLD-AP,724430,39.937,-91.197,39.93026,-91.38189
Cold & Very Cold,lower density urban,LDU,CBSA,36780,"Oshkosh-Neenah, WI",148855,66509,1290.6,576.6,0.643836,0.458904,0.636986,0.57774,51,False,8.5,WI_WITTMAN-RGNL-AP,726456,43.987,-88.556,44.10747,-88.52323
Cold & Very Cold,lower density urban,LDU,CBSA,11460,"Ann Arbor, MI",328471,142050,1149.9,497.3,0.773973,0.212329,0.773973,0.577398,52,False,2.9,MI_ANN-ARBOR-MUNI-AP,725374,42.224,-83.74,42.26023,-83.71068
Cold & Very Cold,lower density urban,LDU,CBSA,43580,"Sioux City, IA-NE-SD",109144,43635,1404.8,561.6,0.547945,0.623288,0.554795,0.575685,53,False,7.0,IA_SIOUX-CITY-SIOUX-GATEWAY-A,725570,42.392,-96.379,42.49281,-96.39919
Cold & Very Cold,lower density urban,LDU,CBSA,29020,"Kokomo, IN",58156,29274,1674.0,842.6,0.445205,0.821918,0.431507,0.574315,54,False,5.8,IN_KOKOMO(AWOS),724387,40.528,-86.059,40.46884,-86.13608
Cold & Very Cold,lower density urban,LDU,CBSA,39380,"Pueblo, CO",144914,62235,1315.6,565.0,0.623288,0.479452,0.630137,0.574315,55,False,7.3,CO_PUEBLO-MEM-AP,724640,38.289,-104.506,38.27557,-104.63895
Cold & Very Cold,lower density urban,LDU,CBSA,15940,"Canton-Massillon, OH",337454,152655,1120.5,506.9,0.787671,0.171233,0.787671,0.571918,56,False,6.1,OH_AKRON-AKRON-CANTON-RGNL-AP,725210,40.918,-81.443,40.84088,-81.38527
Cold & Very Cold,lower density urban,LDU,CBSA,30300,"Lewiston, ID-WA",40486,17220,1949.8,829.3,0.376712,0.90411,0.383562,0.562671,57,False,1.4,ID_LEWISTON-NEZ-PERCE-CNTY-AP,727830,46.375,-117.015,46.39448,-117.00882
Cold & Very Cold,lower density urban,LDU,CBSA,15580,"Butte-Silver Bow, MT",29468,14719,2060.6,1029.2,0.356164,0.945205,0.349315,0.560959,58,False,2.1,MT_BERT-MOONEY-AP,727740,45.964,-112.501,45.99176,-112.51952
Cold & Very Cold,lower density urban,LDU,CBSA,16580,"Champaign-Urbana, IL",191243,88647,1186.9,550.2,0.691781,0.315068,0.691781,0.559931,59,False,7.4,IL_UNIV-OF-ILLINOIS-WI,725315,40.032,-88.275,40.13759,-88.25749
Cold & Very Cold,lower density urban,LDU,CBSA,24220,"Grand Forks, ND-MN",75507,35176,1439.4,670.6,0.5,0.650685,0.493151,0.55137,60,False,8.4,ND_GRAND-FORKS-IAP,727570,47.943,-97.183,47.89652,-97.01596
Cold & Very Cold,lower density urban,LDU,CBSA,39540,"Racine-Mount Pleasant, WI",169843,72844,1193.6,511.9,0.657534,0.321918,0.671233,0.542808,61,False,5.0,WI_RACINE-J-H-BATTEN,726424,42.759,-87.818,42.7267,-87.90557
Cold & Very Cold,lower density urban,LDU,CBSA,21780,"Evansville, IN",225912,103792,1139.5,523.5,0.726027,0.19863,0.712329,0.538698,62,False,3.8,IN_EVANSVILLE-RGNL-AP,724320,38.05,-87.515,37.995,-87.52404
Cold & Very Cold,lower density urban,LDU,CBSA,41060,"St. Cloud, MN",110683,45909,1315.8,545.8,0.568493,0.486301,0.561644,0.538356,63,False,7.4,MN_ST-CLOUD-RGNL-AP,726550,45.544,-94.052,45.57076,-94.19931
