target_catchment_type,target_catchment_code,catchment_label,nrel_filter_field,nrel_filter_value,nrel_value_verified,filter_scope_note,hourly_weather_qc_status
CBSA,35620,"New York-Newark-Jersey City, NY-NJ",in.metropolitan_and_micropolitan_statistical_area,"New York-Newark-Jersey City, NY-NJ-PA MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,INCOMPLETE
CBSA,16980,"Chicago-Naperville-Elgin, IL-IN",in.metropolitan_and_micropolitan_statistical_area,"Chicago-Naperville-Elgin, IL-IN-WI MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
CBSA,24340,"Grand Rapids-Wyoming-Kentwood, MI",in.metropolitan_and_micropolitan_statistical_area,"Grand Rapids-Wyoming, MI MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
County,23031,Census Tract 200.01; York County; Maine,in.county,"ME, York County",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
CBSA,31080,"Los Angeles-Long Beach-Anaheim, CA",in.metropolitan_and_micropolitan_statistical_area,"Los Angeles-Long Beach-Anaheim, CA MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
CBSA,38060,"Phoenix-Mesa-Chandler, AZ",in.metropolitan_and_micropolitan_statistical_area,"Phoenix-Mesa-Scottsdale, AZ MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
CBSA,29420,"Lake Havasu City-Kingman, AZ",in.metropolitan_and_micropolitan_statistical_area,"Lake Havasu City-Kingman, AZ MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
County,06073,Census Tract 62; San Diego County; California,in.county,"CA, San Diego County",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
CBSA,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",in.metropolitan_and_micropolitan_statistical_area,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
CBSA,19100,"Dallas-Fort Worth-Arlington, TX",in.metropolitan_and_micropolitan_statistical_area,"Dallas-Fort Worth-Arlington, TX MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
CBSA,12940,"Baton Rouge, LA",in.metropolitan_and_micropolitan_statistical_area,"Baton Rouge, LA MSA",True,ResStock filter field + value enumeration-verified against the real ResStock data dictionary (resstock_enumeration_dictionary.tsv); ready for ResStock/ComStock downselect.,COMPLETE
