climate_region,urbanicity,urbanicity_short,catchment_type,catchment_code,catchment_label,population_2010,housing_units_2010,population_density_sqmi,housing_unit_density_sqmi,housing_unit_coverage_percentile,population_density_percentile,population_coverage_percentile,location_score,selection_rank,selected,station_distance_miles,selected_station_name,selected_station_number,selected_station_lat,selected_station_lon,centroid_lat,centroid_lon
Cold & Very Cold,higher density urban,HDU,CBSA,35620,"New York-Newark-Jersey City, NY-NJ",19536376,7902744,3938.3,1593.1,1.0,1.0,1.0,1.0,1,True,3.6,NY_PORT-AUTH-DOWNTN-MANHATTAN,720553,40.701,-74.009,40.72585,-73.94867
Cold & Very Cold,lower density urban,LDU,CBSA,16980,"Chicago-Naperville-Elgin, IL-IN",9120795,3791792,2564.0,1065.9,1.0,0.986301,1.0,0.995205,1,True,7.2,IL_CHICAGO-OHARE-IAP,725300,41.96,-87.932,41.86845,-87.86651
Cold & Very Cold,suburban/small town,Suburban,CBSA,24340,"Grand Rapids-Wyoming-Kentwood, MI",945567,378510,975.1,390.3,0.995305,0.957746,0.995305,0.982159,1,True,10.7,MI_GRAND-RAPIDS-KENT-CO-INT,726350,42.882,-85.523,42.94052,-85.71783
Cold & Very Cold,rural,Rural,County,23031,Census Tract 200.01; York County; Maine,90689,43616,119.6,57.5,1.0,0.968439,1.0,0.988954,1,True,5.5,ME_SANFORD-MUNI(AWOS),726064,43.394,-70.708,43.47293,-70.71205
Hot-Dry & Mixed Dry,higher density urban,HDU,CBSA,31080,"Los Angeles-Long Beach-Anaheim, CA",12937821,4734200,5892.6,2156.2,1.0,1.0,1.0,1.0,1,True,8.4,CA_LOS-ANGELES-DOWNTOWN-USC,722874,34.024,-118.291,33.98431,-118.15186
Hot-Dry & Mixed Dry,lower density urban,LDU,CBSA,38060,"Phoenix-Mesa-Chandler, AZ",4707856,1937302,2537.6,1044.2,1.0,0.925,1.0,0.97375,1,True,2.0,AZ_PHOENIX-SKY-HARBOR-IAP,722780,33.428,-112.004,33.45731,-112.00637
Hot-Dry & Mixed Dry,suburban/small town,Suburban,CBSA,29420,"Lake Havasu City-Kingman, AZ",162404,88058,883.5,479.1,1.0,0.851852,1.0,0.948148,1,True,20.7,AZ_BULLHEAD-CITY,723788,35.157,-114.559,34.95025,-114.29389
Hot-Dry & Mixed Dry,rural,Rural,County,06073,Census Tract 62; San Diego County; California,109789,34974,35.3,11.2,0.941667,0.866667,0.983333,0.92375,1,True,10.6,CA_RAMONA,745056,33.038,-116.916,33.14976,-117.04268
Hot-Humid,higher density urban,HDU,CBSA,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6095879,2648282,4217.4,1832.2,1.0,1.0,1.0,1.0,1,True,4.8,FL_FT-LAUD-HOLLYWOOD-IAP,747830,26.079,-80.162,26.09307,-80.23751
Hot-Humid,lower density urban,LDU,CBSA,19100,"Dallas-Fort Worth-Arlington, TX",7398385,2880694,1972.5,768.0,1.0,0.904762,1.0,0.966667,1,True,5.0,TX_DALLAS-FORT-WORTH-IAP,722590,32.897,-97.022,32.86768,-96.94242
Hot-Humid,suburban/small town,Suburban,CBSA,12940,"Baton Rouge, LA",692599,300007,984.5,426.5,0.985915,0.992958,0.985915,0.98838,1,True,9.7,LA_BATON-ROUGE-METRO-R,722320,30.538,-91.147,30.42668,-91.04886
Hot-Humid,rural,Rural,County,45051,Census Tract 101; Horry County; South Carolina,77887,33410,92.0,39.5,0.997275,0.925068,0.997275,0.972003,1,True,10.2,SC_CONWAY-HORRY-CO-AP,720613,33.828,-79.122,33.92912,-78.99259
Marine,higher density urban,HDU,CBSA,39420,"Pullman, WA",14766,5508,6386.7,2382.4,0.666667,1.0,0.666667,0.783334,1,True,2.5,WA_PULLMAN-MOSCOW-RGNL-AP,727857,46.744,-117.116,46.73443,-117.16676
Marine,lower density urban,LDU,CBSA,42660,"Seattle-Tacoma-Bellevue, WA",3924808,1641019,2210.7,924.3,1.0,0.952381,1.0,0.983333,1,True,2.2,WA_SEATTLE-BOEING-FIELD,727935,47.546,-122.315,47.54439,-122.26744
Marine,suburban/small town,Suburban,CBSA,14740,"Bremerton-Silverdale-Port Orchard, WA",270533,112933,840.9,351.0,1.0,0.764706,1.0,0.917647,1,True,11.0,WA_BREMERTON-NATIONAL,727928,47.483,-122.767,47.61335,-122.62979
Marine,rural,Rural,County,53063,Census Tract 101.01; Spokane County; Washington,61736,24585,43.2,17.2,0.962025,0.860759,0.987342,0.931645,1,True,5.4,WA_FELTS-FLD,727856,47.686,-117.321,47.69905,-117.43548
Mixed-Humid,higher density urban,HDU,CBSA,47620,"Warren, PA",9273,4757,3185.5,1634.1,1.0,1.0,1.0,1.0,1,True,21.9,NY_CHATAUQUA-CO-JAMESTO,725235,42.15,-79.25,41.84388,-79.14073
Mixed-Humid,lower density urban,LDU,CBSA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5948550,2361497,2272.4,902.1,0.983051,0.915254,0.983051,0.959322,1,True,9.0,VA_WASHINGTON-DC-REAGAN-AP,724050,38.847,-77.035,38.89793,-77.18979
Mixed-Humid,suburban/small town,Suburban,CBSA,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1690083,727689,994.0,428.0,1.0,1.0,1.0,1.0,1,True,2.3,TN_NASHVILLE-IAP,723270,36.111,-86.688,36.07731,-86.68253
Mixed-Humid,rural,Rural,County,10005,Census Tract 501.03; Sussex County; Delaware,72373,32142,123.1,54.7,1.0,0.958246,0.998956,0.985177,1,True,5.1,DE_GEORGETOWN-SUSSEX,724093,38.69,-75.362,38.65696,-75.44591
