station_number,station_name,year,expected_hours,present_hours,coverage_fraction,hourly_weather_qc_status,source
720553,NY_PORT-AUTH-DOWNTN-MANHATTAN,2023,8760,7494,0.8555,INCOMPLETE,api
720613,SC_CONWAY-HORRY-CO-AP,2023,8760,8741,0.9978,COMPLETE,api
722320,LA_BATON-ROUGE-METRO-R,2023,8760,8752,0.9991,COMPLETE,api
722590,TX_DALLAS-FORT-WORTH-IAP,2023,8760,8760,1.0,COMPLETE,api
722780,AZ_PHOENIX-SKY-HARBOR-IAP,2023,8760,8756,0.9995,COMPLETE,api
722874,CA_LOS-ANGELES-DOWNTOWN-USC,2023,8760,8706,0.9938,COMPLETE,api
723270,TN_NASHVILLE-IAP,2023,8760,8757,0.9997,COMPLETE,api
723788,AZ_BULLHEAD-CITY,2023,8760,8231,0.9396,COMPLETE,api
724050,VA_WASHINGTON-DC-REAGAN-AP,2023,8760,8758,0.9998,COMPLETE,api
724093,DE_GEORGETOWN-SUSSEX,2023,8760,8700,0.9932,COMPLETE,api
725235,NY_CHATAUQUA-CO-JAMESTO,2023,8760,8736,0.9973,COMPLETE,api
725300,IL_CHICAGO-OHARE-IAP,2023,8760,8760,1.0,COMPLETE,api
726064,ME_SANFORD-MUNI(AWOS),2023,8760,8740,0.9977,COMPLETE,api
726350,MI_GRAND-RAPIDS-KENT-CO-INT,2023,8760,8758,0.9998,COMPLETE,api
727856,WA_FELTS-FLD,2023,8760,8734,0.997,COMPLETE,api
727857,WA_PULLMAN-MOSCOW-RGNL-AP,2023,8760,8737,0.9974,COMPLETE,api
727928,WA_BREMERTON-NATIONAL,2023,8760,8200,0.9361,COMPLETE,api
727935,WA_SEATTLE-BOEING-FIELD,2023,8760,8742,0.9979,COMPLETE,api
745056,CA_RAMONA,2023,8760,8649,0.9873,COMPLETE,api
747830,FL_FT-LAUD-HOLLYWOOD-IAP,2023,8760,8734,0.997,COMPLETE,api
