zip_code,zcta,county_geoid,county_label,cbsa_code,cbsa_label,state,climate_region,urbanicity,urbanicity_short,allocation_ratio,match_type,uncertainty_note,source_version,latitude,longitude
13039,13039,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55001,55001,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
00501,11742,36103,,35620,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55003,55003,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13041,13041,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55010,55065,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55011,55011,27003,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13043,13032,36053,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55012,55012,27025,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55014,55014,27003,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
